Category,Subcategory,Technologies name,parameter name,c_inv,c_maint,gwp_constr,einv_constr,lifetime,c_p,fmin_perc,fmax_perc,f_min,f_max
,,Name (simplified),Name (in model and documents),"[Meuro/GW],[Meuro/GWh],[Meuro/(Mkmpass/h)],[Meuro/(Mtonkm/h)]","[Meuro/GW],[Meuro/GWh],[Meuro/(Mkmpass/h)],[Meuro/(Mtonkm/h)]","[ktonCO2_eq/GW],[ktonCO2_eq/GWh],[ktonCO2_eq/(Mkmpass/h)],[ktonCO2_eq/(Mtonkm/h)]",[GWh/y],[years],[],[],[],[GW],[GW]
Mobility,Passenger public,Tram or metro,TRAMWAY_TROLLEY,625.0,12.5,17.979665,73.15310417,30,0.342465753,0,0.3,0,1000000000000000.0
Mobility,Freight,Trucks diesel,TRUCK_DIESEL,371.1111111,18.55555556,70.66544616,265.1877902,15,0.092592593,0,1.0,0,1000000000000000.0
Mobility,Freight,Truck electric,TRUCK_ELEC,771.1111111,23.13333333,142.0134825,569.702575,15,0.092592593,0,1.0,0,1000000000000000.0
Mobility,Freight,Truck fuel cell (hydrogen),TRUCK_FUEL_CELL,402.2222222,12.06666667,100.7308601,367.544115,15,0.092592593,0,1.0,0,1000000000000000.0
Mobility,Freight,Truck methanol,TRUCK_METHANOL,371.1111111,18.55555556,70.66544616,265.1877902,15,0.092592593,0,1.0,0,1000000000000000.0
Mobility,Freight,Truck gas,TRUCK_NG,371.1111111,18.55555556,64.63024304,243.2962726,15,0.092592593,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised fuel cell cogeneration gas,TS_DEC_ADVCOGEN_GAS,18.97181384,0.132802697,5.81379082,23.10450496,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised fuel cell cogenration H2,TS_DEC_ADVCOGEN_H2,18.97181384,0.132802697,5.81379082,23.10450496,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised boiler gas,TS_DEC_BOILER_GAS,18.97181384,0.132802697,5.81379082,23.10450496,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised boiler oil,TS_DEC_BOILER_OIL,18.97181384,0.132802697,5.81379082,23.10450496,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised boiler wood,TS_DEC_BOILER_WOOD,18.97181384,0.132802697,5.81379082,23.10450496,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised cogeneration gas,TS_DEC_COGEN_GAS,18.97181384,0.132802697,5.81379082,23.10450496,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised cogenration oil,TS_DEC_COGEN_OIL,18.97181384,0.132802697,5.81379082,23.10450496,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised direct elec,TS_DEC_DIRECT_ELEC,18.97181384,0.132802697,5.81379082,23.10450496,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised electrical heat pumps,TS_DEC_HP_ELEC,18.97181384,0.132802697,5.81379082,23.10450496,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised thermal heat pumps gas,TS_DEC_THHP_GAS,18.97181384,0.132802697,5.81379082,23.10450496,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Centralised daily,TS_DHN_DAILY,3.0,0.0086,5.81379082,23.10450496,40,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Centralised seasonal,TS_DHN_SEASONAL,0.54,0.002958333,1.410852432,6.590650587,25,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Thermal storage industries,TS_HIGH_TEMP,28.03,0.3,183.9970091,342.2585606,25,1.0,0,1.0,0,1000000000000000.0
Electricity,Electricity,Wind offshore,WIND_OFFSHORE,4974.633942,34.611,764.444565,2743.355083,30,1.0,0,1.0,0,6.0
Electricity,Electricity,Wind onshore,WIND_ONSHORE,1040.0,12.096,556.8764774,2867.799861,30,1.0,0,1.0,0,10.0
